update,episodes_finished,mean_return,rmse_g,cat_rate_g,mean_post_std_g,probe_rate,pi_loss,v_loss,entropy,total_loss
20,160,2.704009278767071,0.017944858162594793,0.2375,0.005525660206593186,0.0,-0.015840930689591914,0.006312911835266277,4.85745108127594,-0.061258984613232315
40,160,4.137199125364793,0.0002814284610041509,0.0,0.00027506585357384454,0.0,-0.01599166085361503,0.0022420039167627692,5.888994991779327,-0.073760608676821
60,160,4.155083900526874,0.00032347103076239153,0.0,0.00027059553061649616,0.0,-0.01906431892712135,0.0014131437637843192,6.312922120094299,-0.0814869673922658
80,160,4.15016257623923,0.000303859412017169,0.0,0.0002733093396570959,0.0,-0.015758488327264786,0.0015234133315971121,6.707194834947586,-0.08206872758455575
100,160,4.153166775495991,0.00031158928659310334,0.0,0.0002718634701689447,0.0,-0.01598471443867311,0.003094076892011799,6.779873043298721,-0.08223640616051853
120,160,4.166070288008694,0.00035763142426914626,0.0,0.0002692099811826768,0.0,-0.01692106429254636,0.0016842871264088899,7.007073760032654,-0.08614965691231191
140,160,4.166128141534804,0.00034631073199625496,0.0,0.0002878233483042629,0.0,-0.01978979815612547,0.0013547763592214324,6.973127096891403,-0.08884367998689413
160,160,4.2032508869933904,0.0002971740145683767,0.0,0.00025929590909699196,0.0,-0.0238934553344734,0.0027702798470272683,7.087687790393829,-0.0933851923327893
180,160,4.210501527792872,0.0005660137127685226,0.0,0.00025622826426908855,0.0,-0.01641889614984393,0.0022410908204619773,6.906512826681137,-0.08436347800306976
200,160,4.228340005650544,0.0003002291855277359,0.0,0.00025173011009807094,0.0,-0.022098846471635625,0.0015226198083837517,6.764816135168076,-0.08898569736629725
220,160,4.227501266526289,0.00022858471079053962,0.0,0.0002514638117156936,0.0,-0.015557268110569566,0.001435815851436928,6.733217865228653,-0.08217153674922884
240,160,4.248612180909565,0.00025724224141736573,0.0,0.0002463589693610221,0.0,-0.015862510161241516,0.001663434915826656,6.617618501186371,-0.08120697690173984
260,160,4.249985054920096,0.00029160765292718214,0.0,0.0002575634833662273,0.0,-0.01609341864241287,0.0020447174392757006,6.635842829942703,-0.0814294870942831
280,160,4.270875497814362,0.0003058228682793849,0.0,0.000239421350380136,0.0,-0.014861151517834514,0.0010582259710645303,6.554687887430191,-0.07987891603261232
300,160,4.259918143061642,0.00028015432655946904,0.0,0.0002460921959144264,0.0,-0.017422661534510553,0.0009595691299182363,6.597616970539093,-0.08291904558427632
320,160,4.264396404344667,0.00029237252655065,0.0,0.00024237624477845687,0.0,-0.02140684172627516,0.0015311856113839895,6.60622963309288,-0.08670354471541941
340,160,4.275682669401645,0.0005043575025216506,0.0,0.00023910157967758894,0.0,-0.017877852253150195,0.001730786323605571,6.345490753650665,-0.08046736405231059
360,160,4.24112995769894,0.00028231148178367425,0.0,0.00024923118217524964,0.0,-0.01709540101001039,0.0018501395607017912,6.509003251791,-0.08126036101020873
380,160,4.256497361543556,0.0010243152462484266,0.00625,0.00024388751192756884,0.0,-0.01688172889407724,0.0014212088644853793,6.433856815099716,-0.08050969103351235
400,160,4.279412596763283,0.0002673330997007352,0.0,0.0002383049010346282,0.0,-0.012193939764983952,0.0012269738654140383,6.6368453204631805,-0.0779489038977772
420,160,4.275758253334683,0.0023491157922524773,0.0125,0.0002388867309223635,0.0,-0.01356560067506507,0.002212762141425628,6.278481990098953,-0.07524403696879745
440,160,4.274025915021795,0.00027106847078187514,0.0,0.0002390386571417477,0.0,-0.018309170642169192,0.0018942893148050644,6.8329726457595825,-0.08569175167940557
460,160,4.252725811075031,0.00028069850965328476,0.0,0.0002440090582042851,0.0,-0.017048530629836023,0.0016861850599525496,6.667317092418671,-0.08287860872223973
480,160,4.275939076281176,0.000282555203835363,0.0,0.00023865422082527602,0.0,-0.01759072788991034,0.001844180740590673,6.564249187707901,-0.08231112780049443
500,160,4.2798858610217305,0.0002601825336243452,0.0,0.0002382139132867108,0.0,-0.018802229315042496,0.0010969114264298696,6.520109921693802,-0.08345487015321851
520,160,4.2646614431119065,0.0003053454168203663,0.0,0.00024129168846129855,0.0,-0.013912692957092077,0.0015348817614722066,6.579414278268814,-0.07893939432688057
540,160,4.249565363448827,0.00028106273016160815,0.0,0.00024886154867829644,0.0,-0.014617565320804715,0.002380717603955418,6.634820759296417,-0.07977541163563728
