update,episodes_finished,mean_return,rmse_g,cat_rate_g,mean_post_std_g,probe_rate
20,320,2.661716685101947,0.009600178622542798,0.1875,0.005906421407083778,0.0
40,320,3.2805803697216604,0.006099081678965273,0.084375,0.0027738211833809854,0.0
60,320,3.476964179793653,0.005380928317815472,0.05,0.00198438011343255,0.0
80,320,3.48307696812738,0.004844226591890499,0.040625,0.0019141555850580104,0.0
100,320,3.570269783785099,0.004751341535534683,0.0375,0.0015142269064069536,0.0
120,320,3.5958260641515287,0.004100616639707706,0.03125,0.0013759278637845457,0.0
140,320,3.6491876444470845,0.0035741660765341433,0.015625,0.0009049117131958627,0.0
160,320,3.64617064738851,0.004054847054617488,0.0125,0.001030007778469958,0.0
180,320,3.625594160204959,0.0022411482619617965,0.015625,0.0011354797682981306,0.0
200,320,3.6178845457766293,0.0049175142799803935,0.028125,0.001263605223103839,0.0
220,320,3.688690048118154,0.0033520757362334452,0.009375,0.0007195481467359526,0.0
240,320,3.642090642074281,0.001998504734369988,0.00625,0.0008710109838391371,0.0
260,320,3.6526822628376747,0.0030832387164371985,0.0125,0.0010120127147112677,0.0
280,320,3.6554798606737906,0.0037608051982618946,0.01875,0.0010283174360664255,0.0
300,320,3.6996187939333836,0.0026641063041204227,0.009375,0.0007391955118781997,0.0
320,320,3.6509022612173645,0.002155227698629634,0.009375,0.0009314701958339628,0.0
340,320,3.688031206612744,0.0018715729465361636,0.00625,0.0007972166737499464,0.0
360,320,3.6410996119782566,0.0038441656625522328,0.021875,0.001276947606939684,0.0
380,320,3.677968832885552,0.0018222933441356102,0.003125,0.0008485611901031727,0.0
400,320,3.676671581141787,0.0022459023962037032,0.00625,0.0008707636017699766,0.0
420,320,3.671035471318043,0.0022575520889248713,0.0125,0.000954979391197643,0.0
440,320,3.684878364876643,0.0025838647856248056,0.015625,0.0007701753393328563,0.0
460,320,3.6840463543329305,0.0026966839504446237,0.009375,0.0006136316640958922,0.0
480,320,3.668944142375947,0.004132519643715847,0.021875,0.0010051732966984376,0.0
500,320,3.6830228978182733,0.004440975240541175,0.015625,0.0008474336818829845,0.0
520,320,3.7045117574516326,0.00338303764881453,0.009375,0.0007405468673105114,0.0
540,320,3.6621719869372407,0.0030109608220282636,0.009375,0.0008421601870385288,0.0
560,320,3.695248910326227,0.002521845694858433,0.015625,0.0007911016169283539,0.0
580,320,3.6971341066112444,0.002580829575520762,0.0125,0.0006344827770751779,0.0
600,320,3.6929300467330775,0.0025000763245539843,0.00625,0.00079597163906073,0.0
620,320,3.668477416042303,0.004087945022411369,0.021875,0.0010543624805795344,0.0
640,320,3.6767205367448996,0.002391754079154051,0.009375,0.0008497238187123842,0.0
660,320,3.7036266746821314,0.0024883354560557244,0.009375,0.000814039003612332,0.0
680,320,3.69658021687613,0.0023048775315002287,0.009375,0.0008022883574324753,0.0
700,320,3.6620848158416393,0.001901197447030534,0.009375,0.0008742338276912414,0.0
720,320,3.653281220339591,0.0025446643549892904,0.0125,0.0009931839636699805,0.0
740,320,3.6795025847112797,0.003825635432561768,0.015625,0.000915447141516516,0.0
760,320,3.7096296916143006,0.0035577177834437324,0.0125,0.0008101118072825926,0.0
780,320,3.7045154057617062,0.001105446658232036,0.003125,0.0007581821063222516,0.0
800,320,3.7233672939477076,0.0009542945238132672,0.0,0.0006925421189068427,0.0
820,320,3.693676518979474,0.0007998434331581518,0.0,0.0007342493539382205,0.0
840,320,3.69883449414181,0.0026800108983237388,0.009375,0.0007561795026051594,0.0
860,320,3.70229302498727,0.002711614006740259,0.00625,0.0007155947421342175,0.0
880,320,3.7209494604926716,0.0006071152211918728,0.0,0.0006947012656853969,0.0
900,320,3.732554977700702,0.0019461492374146796,0.00625,0.0007912720725685369,0.0
920,320,3.744530521818781,0.0033311706033182977,0.015625,0.0007237244491165088,0.0
940,320,3.7341828596956304,0.0030810410892937773,0.009375,0.0007147550913945558,0.0
960,320,3.735612071024144,0.00199071694553759,0.009375,0.0006617047622380446,0.0
980,320,3.7575831576568235,0.0031067111369570207,0.009375,0.0006459396145219417,0.0
1000,320,3.742826766984959,0.002568748479549633,0.003125,0.0006620279876584584,0.0
1020,320,3.7435169903112375,0.000831052615724258,0.0,0.0007180078975289946,0.0
